timestamp,frame_id,label,confidence,zone,proximity,approach,is_danger,x1,y1,x2,y2,area,frame_w,frame_h
1776139113.6642,10,airplane,0.469,unknown,far,stable,False,73,2,224,46,6644,360,640,0
1776139113.9898,17,bear,0.5524,unknown,close,stable,False,0,208,270,635,115290,360,640,0
1776139114.0337,18,bear,0.5524,unknown,close,stable,False,0,208,270,635,115290,360,640,0
1776139114.1246,20,bear,0.7601,unknown,close,stable,False,0,222,297,638,123552,360,640,0
1776139114.171,21,bear,0.6991,unknown,close,stable,False,0,222,297,637,123255,360,640,0
1776139114.2636,23,bear,0.4144,unknown,close,approaching,False,1,76,257,633,142592,360,640,0
1776139114.3111,24,bear,0.5284,unknown,close,approaching,False,1,92,259,609,133386,360,640,0
1776139114.982,37,person,0.6016,unknown,medium,stable,False,73,409,280,639,47610,360,640,0
1776139115.0279,38,person,0.6016,unknown,medium,stable,False,73,409,280,639,47610,360,640,0
1776139115.0723,39,person,0.499,unknown,medium,stable,False,77,410,279,639,46258,360,640,0
1776139115.1187,40,person,0.499,unknown,medium,stable,False,77,410,279,639,46258,360,640,0
1776139115.1668,41,person,0.499,unknown,medium,stable,False,77,410,279,639,46258,360,640,0
1776139115.2617,43,person,0.4041,unknown,medium,stable,False,70,417,274,639,45288,360,640,0
1776139115.3097,44,person,0.4041,unknown,medium,stable,False,70,417,274,639,45288,360,640,0
1776139115.542,49,person,0.4595,unknown,medium,stable,False,73,417,272,639,44178,360,640,0
1776139115.5877,50,person,0.5648,unknown,medium,stable,False,212,193,360,533,50320,360,640,0
1776139115.5877,50,person,0.5268,unknown,medium,stable,False,70,421,270,639,43600,360,640,0
1776139115.6346,51,person,0.4897,unknown,medium,approaching,False,72,422,273,639,43617,360,640,0
1776139115.6346,51,person,0.4133,unknown,medium,approaching,False,205,193,360,534,52855,360,640,0
1776139115.6794,52,person,0.6181,unknown,medium,stable,False,75,416,276,639,44823,360,640,0
1776139115.6794,52,person,0.4802,unknown,medium,stable,False,204,195,360,537,53352,360,640,0
1776139115.7264,53,person,0.6181,unknown,medium,approaching,False,75,416,276,639,44823,360,640,0
1776139115.7264,53,person,0.4802,unknown,medium,approaching,False,204,195,360,537,53352,360,640,0
1776139115.7739,54,person,0.6198,unknown,medium,approaching,False,76,420,277,639,44019,360,640,0
